playid,title,genres,area,vote_average,vote_count
1,눈 오는 봄날,드라마 시대역사,서울,4.8,27
2,헤다 가블러,드라마 시대역사,서울,4.8,5
3,이웃집 쌀통-창원,드라마 로맨스,경상도,4.9,31
4,여행 - 대구,드라마,대구,5,1
5,물고양이,"드라마,판타지",서울,4.9,42
6,양손프로젝트 단편선 레파토리展,드라마,서울,4.9,35
7,"러브,어게인 - 대구",드라마 로맨스,대구,4.9,55
8,나의 PS 파트너 - 대구,로맨스 드라마,대구,4.8,178
9,우리 동네 동선동,드라마 시대극,서울,4.8,10
10,브릴리언트 : 찬란하게 빛나던,드라마,서울,4.7,32
11,작은 아씨들,드라마 로맨스,서울,4.8,22
12,행복총량의 법칙 - 광주,드라마 판타지,광주,5,22
13,분장실 - VER 2,드라마 스릴러,서울,4.3,348
14,극적인 하룻밤,로맨스 드라마,서울,5,8
15,수상한 흥신소 2탄 - 서울,코미디 드라마,서울,4.8,816
16,햄릿 디 액터,드라마 로맨스,서울,5,3
17,크리미널,추리스릴러 공포,서울,4.5,249
18,보도지침,드라마 공포,서울,4.9,485
19,카포네 트릴로지,드라마 스릴러,서울,4.1,345
20,욕망이라는 이름의 전차,드라마 로맨스,서울,4.5,22
21,인사이드,드라마 추리스릴러,서울,4.6,93
22,연애하기 좋은 날 - 대전,로맨스,대전,4.8,19
23,괴담,공포,서울,4.7,32
24,오 나의 귀신님 - 전주,로맨스,전라도,4.8,9
25,드립소년단,코미디,서울,5,5
26,비누향기,드라마 코미디,서울,4.8,22
27,2시간탈출 졸탄쇼,코미디,서울,5,55
28,수상한 흥신소 - 서울,드라마 코미디,서울,4.7,1827
29,작업의 정석,로맨스,서울,4.5,6854
30,설레임이 찾아왔다,로맨스,서울,4.9,28
31,검정고무신 - 부산,드라마 시대역사,부산,4.9,30
32,운빨로맨스 - 서울,드라마 로맨스,서울,4.7,90
33,사랑일까? - 서울,드라마 로맨스,서울,4.9,44
34,한뼘사이 - 서울,로맨스,서울,4.8,4475
35,보통의 보랏빛 향기,코미디,서울,4.7,34
36,오백에 삼십 - 대구,드라마 코미디,대구,5,14
37,수상한 흥신소 2탄 - 부산,코미디,부산,4.9,31
38,사랑과 전쟁 시즌2,코미디 로맨스,서울,5,2
39,아날로그 정통 체력극 <신바람 난 삼대>,코미디,서울,4.7,32
40,#나만빼고,드라마,서울,4.7,89
41,언플러그드,로맨스,서울,4.8,59
42,THE 가구,드라마,서울,4.8,4
43,리미트,코미디,서울,4.6,145
44,코믹연극 <2시간탈출 졸탄쇼>,코미디,서울,4.9,59
45,G급감성,코미디,서울,4.4,15
46,연극 라면,코미디,서울,4.9,1649
47,자메이카 헬스클럽,코미디,서울,4.5,304
48,공포연극 <자취>,공포,서울,4.5,194
49,디벅,추리스릴러,서울,4.3,3
50,끝까지 간다,드라마 추리스릴러,서울,4.9,31
51,연애하기 좋은 날 - 서울,로맨스,서울,4.7,1213
52,연애리플레이,로맨스,서울,4.7,53
53,진짜사랑이야기 연극 러브액츄얼리 - 서울,로맨스,서울,4.6,14
54,심판,드라마 판타지,서울,4.7,23
55,스탠드업 홍대,코미디,서울,5,7
56,안나라수마나라,드라마 로맨스,서울,4.4,4422
57,천사들이 들려주는 사도요한,드라마 판타지,서울,4,2
58,죽어야 사는 남자,로맨스,서울,5,4
59,행쇼 - 서울,코미디,서울,4.5,58
60,멈춰진 계절,공포,서울,4.8,130
61,러브스펠,로맨스,서울,5,2
62,석교리 - 서울,공포,서울,4.7,18
63,택시 안에서 - 부산,코미디,부산,4.6,648
64,극적인 하룻밤,로맨스,서울,4.6,2374
65,달콤한 의뢰인 - 서울,코미디,서울,4.5,61
66,백쇼 - 인천,코미디,인천,4.8,288
67,오 나의 귀신님 - 서울,로맨스,서울,4.7,434
68,그남자 그여자 - 서울,로맨스,서울,4.7,302
69,너의 목소리가 들려,코미디,서울,4.9,2053
70,국희이야기,드라마 시대역사,서울,4.4,17
71,개톡,코미디,서울,3.6,13
72,보잉보잉,코미디,서울,4.8,15
73,하트시그널,로맨스,서울,4.5,100
74,택시 안에서,코미디,서울,4.7,158
75,사과하기 좋은 날,코미디,서울,4.8,16
76,오백에 삼십,코미디,서울,4.7,1721
77,쥐덫,로맨스,서울,4.4,280
78,핫식스,로맨스,서울,4.9,2200
79,그녀를 믿지마세요,드라마 코미디,서울,4.6,360
80,까브라더쑈,코미디,서울,4.6,20
81,그놈은 예뻤다,코미디,서울,4,876
82,사춘기 메들리,로맨스,서울,4.9,197
83,나의 PS 파트너,로맨스 코미디,서울,4.7,2431
84,인생 역전 코미디 연극 〈럭키〉,코미디,서울,4.5,520
85,늘근도둑 이야기 - 서울,코미디,서울,4.3,1289
86,스위치 - 서울,공포 추리스릴러,서울,4.7,993
87,오마이갓,공포 코미디,서울,4.8,2584
88,조각 : 사라진기억 - 서울,공포,서울,4.5,772
89,뷰티풀라이프,로맨스 ,서울,4.9,332
90,코미디의맛/홍콩쇼/쇼미더퍼니,코미디,서울,4.6,1131
91,쉬어매드니스,추리스릴러 코미디,서울,4.5,6777
92,두 여자,공포,서울,4.6,1510
93,옥탑방 고양이 - 서울,로맨스,서울,4.7,10708
94,당신이 주인공,공포 코미디,서울,4.4,125
95,시크릿,코미디,서울,4.4,144
96,죽여주는 이야기,코미디,서울,4.9,6
97,나의 완벽한 로맨스 - 대전,로맨스 코미디,대전,4.8,727
98,제6회 도담도담 페스티벌,드라마,서울,4,2
99,내 모든걸 - 대전,드라마  코미디,대전,4.7,624
100,행복 - 대구,드라마 로맨스,대구,4.9,40
101,"경성연가：홍도야, 우지마라 - 대전",드라마 시대 역사,대전,4.7,37
102,행복 - 서울,드라마 로맨스,서울,5,13
