playid,title,genre,area,vote_average,vote_count
1,제6회 여성연극제,창작,3,0,0
2,무제 2021,창작,3,0,0
3,패밀리 비즈니스,창작 드라마,3,0,0
4,제 2회 여주인공 페스티벌,창작,3,0,0
5,제 7회 무죽페스티벌 <년년년>,창작 코미디,3,0,0
6,공포 연극 <흉터> 10주년 기념공연,창작 스릴러,3,0,0
7,<햄릿의 비극>,고전명작,3,0,0
8,"<미래에 사는 남자, 과거에 사는 여자>",창작 로맨스,3,0,0
9,보통의 보랏빛 향기,창작 코미디,3,0,0
10,제 7회 무죽페스티벌 <더 싸이킥>,코미디 로맨스,3,0,0
11,2021 제5회 미스터리스릴러전,창작 스릴러,3,0,0
12,연극 <악의 탄생>,창작,3,0,0
13,연극<여섯 꽃의 넋이여>,창작,3,0,0
14,제3회 극단프로젝트 해동머리 단막극제,고전명작,3,0,0
15,판타지 연극 <사랑일까?>,창작 코미디 로맨스,3,0,0
16,그놈이야기(part2),사실주의,3,0,0
17,제 7회 무죽페스티벌 <창 밖의 여자>,창작 사실주의,3,0,0
18,꽃을 받아줘,창작,3,0,0
19,< A doll`s house >_인형의 집,고전명작 사실주의,3,0,0
20,맨드라미 꽃,코미디,3,0,0
21,아빠는 오십에 잠수함을 탔다,창작,3,0,0
22,해와 달에 관한 오래된 기억,아동극 가족극,3,0,0
23,<괴물B>,풍자,3,0,0
24,사육신,창작,3,0,0
25,제2회 3人3色 산돼지,실험극,3,0,0
26,연극 <언덕을 넘어서 가자>,창작 드라마,3,0,0
27,"나, 그리고",창작,3,0,0
28,연극 <마지막 포옹>,사실주의,3,0,0
29,연극 <러브 이즈 타이밍>,창작 코미디 로맨스,3,0,0
30,제 7회 무죽페스티벌 <허스토리>,창작 사실주의,3,0,0
31,연극 <뇌까리다-권력탐구>,창작,3,0,0
32,체인징 파트너,창작 코미디 로맨스,3,0,0
33,강제결혼,고전명작 코미디,3,0,0
34,연극 오 나의 귀신님,로맨스 호러,3,0,0
35,"우리, 맥주 한 캔 할래?",창작,3,0,0
36,과거의 여인,고전명작,3,0,0
37,제 7회 무죽페스티벌 <배우시장>,창작 사실주의,3,0,0
38,발칙한 로맨스의 새이름 <리미트>,창작 로맨스,3,0,0
39,연극 <뚜껑없는 열차>,가족극,3,0,0
40,밀정의 기록,창작,3,0,0
41,제 7회 무죽페스티벌 <맥베스 온 더 보드>,고전명작 창작 실험극,3,0,0
42,고도,사실주의,3,0,0
43,명작가족뮤지컬 <어린왕자의 꿈>,창작 아동극,3,0,0
44,"<자본 2 :어디에나, 어디에도>",사실주의 풍자,3,0,0
45,연극 <러브 앤 전쟁>,코미디,3,0,0
46,뜨겁게 안녕,창작,3,0,0
47,대나무 꽃,창작,3,0,0
48,코믹연극 <2시간탈출 졸탄쇼>,코미디,3,0,0
49,제42회 서울연극제 공식선정작 <붉은 낙엽>,사실주의 스릴러,3,0,0
50,제42회 서울연극제 공식선정작 <생활풍경>,창작 코미디,3,0,0
51,연극 <찬스>,창작 코미디,3,0,0
52,연극 <러브 이즈 타이밍>,창작 코미디 로맨스,3,0,0
53,연극 <체인징 파트너(2차)>,창작 코미디 로맨스,3,0,0
54,제42회 서울연극제 공식선정작 <이단자들>,창작,3,0,0
55,귀여운장난,코미디 로맨스,3,0,0
56,공공공공,창작,3,0,0
57,제42회 서울연극제 공식선정작 <다른여름>,창작,3,0,0
58,제42회 서울연극제 공식선정작 <노인과 여자를 위한 나라는 없다>,창작 코미디,3,0,0
59,제42회 서울연극제 공식선정작 <나는 지금 나를 기억한다>,창작,3,0,0
60,"괜찮아, 해피엔딩이야!",창작 코미디,3,0,0
61,짐승의 시간,창작,3,0,0
62,제42회 서울연극제 공식선정작 <허길동전>,창작,3,0,0
63,쿠키상자_<제6회 SF연극제 낭독극전>,창작,3,0,0
64,"살치살, 8인분",창작 코미디,3,0,0
65,연극 <체인징 파트너(1차)>,창작 코미디 로맨스,3,0,0
66,버스는 떠났다,창작 사실주의,3,0,0
67,444_<제6회 SF연극제_낭독극전>,창작,3,0,0
68,스테어스_<제6회 SF연극제_낭독극전>,창작,3,0,0
69,극단적 연극_<제6회 SF연극제_낭독극전>,창작,3,0,0
70,죽여주는 이야기,창작 코미디,3,0,0
71,매미(B)_<제6회 SF연극제_낭독극전>,창작,3,0,0
72,월곡동 산 2번지,창작 가족극,3,0,0
73,서울테러,사실주의 풍자,3,0,0
74,보통의 보랏빛 향기,창작 코미디,3,0,0
75,매미(A)_<제6회 SF연극제_낭독극전>,창작,3,0,0
76,구토인간_<제6회 SF연극제_낭독극전>,창작,3,0,0
77,지니스페이스_<제6회 SF연극제_낭독극전>,창작,3,0,0
78,<델타보이즈 - 앙코르공연>,코미디 사실주의,3,0,0
79,그녀를 믿지마세요,코미디 로맨스,3,0,0
80,연극 <죽어야 사는 남자>,창작 코미디 로맨스,3,0,0
81,원로예술인 지원사업,창작 풍자,3,0,0
82,연극 <안나라수마나라>,창작 가족극,3,0,0
83,장님들,고전명작,3,0,0
84,리마에 갈 때는 머리에 꽃을,창작,3,0,0
85,제4회 극장동국 연출가전 - 델타보이즈,창작 실험극,3,0,0
86,극단 프로젝트 해동머리 정기공연 <행복한 가족>,가족극,3,0,0
87,국민연극 라이어 1탄_대학로,코미디,3,0,0
88,토관,코미디 부조리극,3,0,0
89,2021 창작 단막극 축제 <뿔 난이들>,창작,3,0,0
90,코미디연극 <백투더백>,코미디,3,0,0
91,맥베드,고전명작,3,0,0
92,연극 <골든타임>,창작,3,0,0
